age,sex,citizen,hispan,n
39,male,naturalized citizen,puerto rican,1
39,male,naturalized citizen,cuban,34
39,male,naturalized citizen,other,203
39,female,born abroad of american parents,not hispanic,143
39,female,born abroad of american parents,mexican,15
39,female,born abroad of american parents,puerto rican,1
39,female,born abroad of american parents,cuban,1
39,female,born abroad of american parents,other,14
39,female,naturalized citizen,not hispanic,1126
39,female,naturalized citizen,mexican,236
39,female,naturalized citizen,puerto rican,3
39,female,naturalized citizen,cuban,38
39,female,naturalized citizen,other,258
40,male,born abroad of american parents,not hispanic,143
40,male,born abroad of american parents,mexican,22
40,male,born abroad of american parents,puerto rican,5
40,male,born abroad of american parents,cuban,2
40,male,born abroad of american parents,other,7
40,male,naturalized citizen,not hispanic,897
40,male,naturalized citizen,mexican,195
40,male,naturalized citizen,puerto rican,6
40,male,naturalized citizen,cuban,37
40,male,naturalized citizen,other,180
40,female,born abroad of american parents,not hispanic,146
40,female,born abroad of american parents,mexican,21
40,female,born abroad of american parents,puerto rican,1
40,female,born abroad of american parents,cuban,1
40,female,born abroad of american parents,other,13
40,female,naturalized citizen,not hispanic,1153
40,female,naturalized citizen,mexican,231
40,female,naturalized citizen,puerto rican,6
40,female,naturalized citizen,cuban,45
40,female,naturalized citizen,other,291
41,male,born abroad of american parents,not hispanic,138
41,male,born abroad of american parents,mexican,19
41,male,born abroad of american parents,puerto rican,3
41,male,born abroad of american parents,cuban,1
41,male,born abroad of american parents,other,24
41,male,naturalized citizen,not hispanic,1043
41,male,naturalized citizen,mexican,246
41,male,naturalized citizen,puerto rican,5
41,male,naturalized citizen,cuban,33
41,male,naturalized citizen,other,238
41,female,born abroad of american parents,not hispanic,154
41,female,born abroad of american parents,mexican,21
41,female,born abroad of american parents,puerto rican,1
41,female,born abroad of american parents,cuban,2
41,female,born abroad of american parents,other,23
41,female,naturalized citizen,not hispanic,1289
41,female,naturalized citizen,mexican,282
41,female,naturalized citizen,puerto rican,7
41,female,naturalized citizen,cuban,33
41,female,naturalized citizen,other,294
42,male,born abroad of american parents,not hispanic,154
42,male,born abroad of american parents,mexican,13
42,male,born abroad of american parents,puerto rican,5
42,male,born abroad of american parents,cuban,1
42,male,born abroad of american parents,other,15
42,male,naturalized citizen,not hispanic,965
42,male,naturalized citizen,mexican,246
42,male,naturalized citizen,puerto rican,2
42,male,naturalized citizen,cuban,36
42,male,naturalized citizen,other,187
42,female,born abroad of american parents,not hispanic,156
42,female,born abroad of american parents,mexican,18
42,female,born abroad of american parents,puerto rican,8
42,female,born abroad of american parents,cuban,1
42,female,born abroad of american parents,other,10
42,female,naturalized citizen,not hispanic,1299
42,female,naturalized citizen,mexican,308
42,female,naturalized citizen,puerto rican,5
42,female,naturalized citizen,cuban,41
42,female,naturalized citizen,other,308
43,male,born abroad of american parents,not hispanic,158
43,male,born abroad of american parents,mexican,27
43,male,born abroad of american parents,puerto rican,3
43,male,born abroad of american parents,cuban,3
43,male,born abroad of american parents,other,20
43,male,naturalized citizen,not hispanic,1046
43,male,naturalized citizen,mexican,234
43,male,naturalized citizen,puerto rican,5
43,male,naturalized citizen,cuban,33
43,male,naturalized citizen,other,243
43,female,born abroad of american parents,not hispanic,156
43,female,born abroad of american parents,mexican,19
43,female,born abroad of american parents,puerto rican,4
43,female,born abroad of american parents,cuban,1
43,female,born abroad of american parents,other,17
43,female,naturalized citizen,not hispanic,1381
43,female,naturalized citizen,mexican,316
43,female,naturalized citizen,puerto rican,6
43,female,naturalized citizen,cuban,60
43,female,naturalized citizen,other,306
44,male,born abroad of american parents,not hispanic,154
44,male,born abroad of american parents,mexican,17
44,male,born abroad of american parents,other,9
44,male,naturalized citizen,not hispanic,1136
44,male,naturalized citizen,mexican,235
44,male,naturalized citizen,puerto rican,2
44,male,naturalized citizen,cuban,33
44,male,naturalized citizen,other,201
44,female,born abroad of american parents,not hispanic,160
44,female,born abroad of american parents,mexican,15
44,female,born abroad of american parents,puerto rican,1
44,female,born abroad of american parents,cuban,3
44,female,born abroad of american parents,other,10
44,female,naturalized citizen,not hispanic,1427
44,female,naturalized citizen,mexican,349
44,female,naturalized citizen,puerto rican,1
44,female,naturalized citizen,cuban,46
44,female,naturalized citizen,other,294
45,male,born abroad of american parents,not hispanic,182
45,male,born abroad of american parents,mexican,15
45,male,born abroad of american parents,puerto rican,5
45,male,born abroad of american parents,cuban,1
45,male,born abroad of american parents,other,5
45,male,naturalized citizen,not hispanic,1208
45,male,naturalized citizen,mexican,274
45,male,naturalized citizen,puerto rican,5
45,male,naturalized citizen,cuban,57
45,male,naturalized citizen,other,212
45,female,born abroad of american parents,not hispanic,151
45,female,born abroad of american parents,mexican,17
45,female,born abroad of american parents,puerto rican,2
45,female,born abroad of american parents,cuban,1
45,female,born abroad of american parents,other,15
45,female,naturalized citizen,not hispanic,1428
45,female,naturalized citizen,mexican,321
45,female,naturalized citizen,puerto rican,4
45,female,naturalized citizen,cuban,44
45,female,naturalized citizen,other,325
46,male,born abroad of american parents,not hispanic,200
46,male,born abroad of american parents,mexican,15
46,male,born abroad of american parents,puerto rican,3
46,male,born abroad of american parents,cuban,1
46,male,born abroad of american parents,other,23
46,male,naturalized citizen,not hispanic,1284
46,male,naturalized citizen,mexican,282
46,male,naturalized citizen,puerto rican,9
46,male,naturalized citizen,cuban,55
46,male,naturalized citizen,other,217
46,female,born abroad of american parents,not hispanic,192
46,female,born abroad of american parents,mexican,24
46,female,born abroad of american parents,puerto rican,4
46,female,born abroad of american parents,cuban,5
46,female,born abroad of american parents,other,14
46,female,naturalized citizen,not hispanic,1639
46,female,naturalized citizen,mexican,376
46,female,naturalized citizen,puerto rican,6
46,female,naturalized citizen,cuban,51
46,female,naturalized citizen,other,327
47,male,born abroad of american parents,not hispanic,197
47,male,born abroad of american parents,mexican,23
47,male,born abroad of american parents,puerto rican,2
47,male,born abroad of american parents,cuban,1
47,male,born abroad of american parents,other,7
47,male,naturalized citizen,not hispanic,1277
47,male,naturalized citizen,mexican,319
47,male,naturalized citizen,puerto rican,2
47,male,naturalized citizen,cuban,51
47,male,naturalized citizen,other,250
47,female,born abroad of american parents,not hispanic,201
47,female,born abroad of american parents,mexican,15
47,female,born abroad of american parents,puerto rican,3
47,female,born abroad of american parents,other,5
47,female,naturalized citizen,not hispanic,1603
47,female,naturalized citizen,mexican,375
47,female,naturalized citizen,puerto rican,4
47,female,naturalized citizen,cuban,55
47,female,naturalized citizen,other,330
48,male,born abroad of american parents,not hispanic,201
48,male,born abroad of american parents,mexican,15
48,male,born abroad of american parents,cuban,1
48,male,born abroad of american parents,other,5
48,male,naturalized citizen,not hispanic,1276
48,male,naturalized citizen,mexican,320
48,male,naturalized citizen,puerto rican,3
48,male,naturalized citizen,cuban,60
48,male,naturalized citizen,other,238
48,female,born abroad of american parents,not hispanic,191
48,female,born abroad of american parents,mexican,16
48,female,born abroad of american parents,puerto rican,1
48,female,born abroad of american parents,other,11
48,female,naturalized citizen,not hispanic,1614
48,female,naturalized citizen,mexican,397
48,female,naturalized citizen,puerto rican,6
48,female,naturalized citizen,cuban,54
48,female,naturalized citizen,other,315
49,male,born abroad of american parents,not hispanic,209
49,male,born abroad of american parents,mexican,10
49,male,born abroad of american parents,puerto rican,1
49,male,born abroad of american parents,cuban,1
49,male,born abroad of american parents,other,14
49,male,naturalized citizen,not hispanic,1280
49,male,naturalized citizen,mexican,352
49,male,naturalized citizen,puerto rican,1
49,male,naturalized citizen,cuban,53
49,male,naturalized citizen,other,267
49,female,born abroad of american parents,not hispanic,200
49,female,born abroad of american parents,mexican,17
49,female,born abroad of american parents,puerto rican,3
49,female,born abroad of american parents,cuban,1
49,female,born abroad of american parents,other,20
49,female,naturalized citizen,not hispanic,1613
49,female,naturalized citizen,mexican,367
49,female,naturalized citizen,puerto rican,4
49,female,naturalized citizen,cuban,48
49,female,naturalized citizen,other,322
50,male,born abroad of american parents,not hispanic,168
50,male,born abroad of american parents,mexican,21
50,male,born abroad of american parents,puerto rican,3
50,male,born abroad of american parents,cuban,3
50,male,born abroad of american parents,other,7
50,male,naturalized citizen,not hispanic,1326
50,male,naturalized citizen,mexican,390
50,male,naturalized citizen,puerto rican,4
50,male,naturalized citizen,cuban,54
50,male,naturalized citizen,other,272
50,female,born abroad of american parents,not hispanic,187
50,female,born abroad of american parents,mexican,16
50,female,born abroad of american parents,puerto rican,2
50,female,born abroad of american parents,cuban,2
50,female,born abroad of american parents,other,10
50,female,naturalized citizen,not hispanic,1604
50,female,naturalized citizen,mexican,387
50,female,naturalized citizen,puerto rican,3
50,female,naturalized citizen,cuban,57
50,female,naturalized citizen,other,317
51,male,born abroad of american parents,not hispanic,185
51,male,born abroad of american parents,mexican,17
51,male,born abroad of american parents,puerto rican,2
51,male,born abroad of american parents,other,12
51,male,naturalized citizen,not hispanic,1403
51,male,naturalized citizen,mexican,428
51,male,naturalized citizen,puerto rican,3
51,male,naturalized citizen,cuban,51
51,male,naturalized citizen,other,283
51,female,born abroad of american parents,not hispanic,155
51,female,born abroad of american parents,mexican,18
51,female,born abroad of american parents,puerto rican,1
51,female,born abroad of american parents,cuban,2
51,female,born abroad of american parents,other,18
51,female,naturalized citizen,not hispanic,1631
51,female,naturalized citizen,mexican,465
51,female,naturalized citizen,puerto rican,3
51,female,naturalized citizen,cuban,61
51,female,naturalized citizen,other,337
52,male,born abroad of american parents,not hispanic,187
52,male,born abroad of american parents,mexican,15
52,male,born abroad of american parents,puerto rican,1
52,male,born abroad of american parents,cuban,2
52,male,born abroad of american parents,other,12
52,male,naturalized citizen,not hispanic,1254
52,male,naturalized citizen,mexican,420
52,male,naturalized citizen,puerto rican,5
52,male,naturalized citizen,cuban,55
52,male,naturalized citizen,other,253
52,female,born abroad of american parents,not hispanic,187
52,female,born abroad of american parents,mexican,13
52,female,born abroad of american parents,puerto rican,1
52,female,born abroad of american parents,cuban,1
52,female,born abroad of american parents,other,12
52,female,naturalized citizen,not hispanic,1510
52,female,naturalized citizen,mexican,359
52,female,naturalized citizen,puerto rican,7
52,female,naturalized citizen,cuban,64
52,female,naturalized citizen,other,314
53,male,born abroad of american parents,not hispanic,189
53,male,born abroad of american parents,mexican,21
53,male,born abroad of american parents,cuban,1
53,male,born abroad of american parents,other,18
53,male,naturalized citizen,not hispanic,1429
53,male,naturalized citizen,mexican,429
53,male,naturalized citizen,puerto rican,6
53,male,naturalized citizen,cuban,82
53,male,naturalized citizen,other,254
53,female,born abroad of american parents,not hispanic,196
53,female,born abroad of american parents,mexican,16
53,female,born abroad of american parents,puerto rican,5
53,female,born abroad of american parents,other,12
53,female,naturalized citizen,not hispanic,1536
53,female,naturalized citizen,mexican,406
53,female,naturalized citizen,puerto rican,4
53,female,naturalized citizen,cuban,77
53,female,naturalized citizen,other,341
54,male,born abroad of american parents,not hispanic,209
54,male,born abroad of american parents,mexican,19
54,male,born abroad of american parents,puerto rican,1
54,male,born abroad of american parents,cuban,3
